feature,map_eta2,map_inv,version_d,version_inv,side_d,side_inv,universal
assisted_kills_percentage,0.0423,1,0.7152,0,,,0.0
assists_per_round,0.0153,1,0.0087,1,,,1.0
attacks_per_round,0.0339,1,0.0653,1,,,1.0
clutch_points_per_round,0.0019,1,0.039,1,,,1.0
clutching,0.0022,1,0.0208,1,,,1.0
ct_assisted_kills_percentage,0.0452,1,0.6003,0,,,0.0
ct_assists_per_round,0.017,1,0.0055,1,,,1.0
ct_attacks_per_round,0.0366,1,0.0364,1,,,1.0
ct_clutch_points_per_round,0.0119,1,0.035,1,,,1.0
ct_clutching,0.0063,1,0.0526,1,,,1.0
ct_damage_per_kill,0.018,1,0.0932,1,,,1.0
ct_damage_per_round,0.0522,1,0.1122,1,,,1.0
ct_damage_per_round_win,0.0044,1,0.0385,1,,,1.0
ct_entrying,0.0306,1,0.3949,1,,,1.0
ct_firepower,0.0748,0,0.0914,1,,,0.0
ct_flash_assists_per_round,0.275,0,0.0208,1,,,0.0
ct_flashes_thrown_per_round,0.2376,0,0.1117,1,,,0.0
ct_kills_per_round,0.0664,0,0.0222,1,,,0.0
ct_kills_per_round_win,0.0048,1,0.0493,1,,,1.0
ct_opening,0.0245,1,0.055,1,,,1.0
ct_opening_attempts,0.001,1,0.0372,1,,,1.0
ct_opening_deaths_per_round,0.0338,1,0.0297,1,,,1.0
ct_opening_kills_per_round,0.0223,1,0.0406,1,,,1.0
ct_opening_success,0.0632,0,0.0538,1,,,0.0
ct_pistol_round_rating,0.0029,1,0.0075,1,,,1.0
ct_rating_3.0,0.0463,1,0.0267,1,,,1.0
ct_rounds_with_a_kill,0.101,0,0.0311,1,,,0.0
ct_rounds_with_a_multi_kill,0.0428,1,0.0656,1,,,1.0
ct_saved_by_teammate_per_round,0.0519,1,0.005,1,,,1.0
ct_saved_teammate_per_round,0.0565,1,0.0083,1,,,1.0
ct_saves_per_round_loss,0.1264,0,0.1262,1,,,0.0
ct_sniper_kills_per_round,0.0046,1,0.0059,1,,,1.0
ct_sniper_multi_kill_rounds,0.0056,1,0.1527,1,,,1.0
ct_sniper_opening_kills_per_round,0.0065,1,0.0988,1,,,1.0
ct_sniping,0.0019,1,0.0603,1,,,1.0
ct_support_rounds,0.0818,0,0.5458,0,,,0.0
ct_trade_kills_per_round,0.0263,1,0.0257,1,,,1.0
ct_trade_kills_percentage,0.0849,0,0.1906,1,,,0.0
ct_traded_deaths_per_round,0.0256,1,0.0355,1,,,1.0
ct_traded_deaths_percentage,0.0144,1,0.2223,1,,,1.0
ct_trading,0.0734,0,0.4867,1,,,0.0
ct_utility,0.3161,0,0.0117,1,,,0.0
ct_utility_damage_per_round,0.2481,0,0.0644,1,,,0.0
ct_utility_kills_per_100_rounds,0.1146,0,0.0864,1,,,0.0
damage_per_kill,0.0065,1,0.1287,1,,,1.0
damage_per_round,0.0157,1,0.0929,1,,,1.0
entrying,0.0674,0,0.4351,1,,,0.0
firepower,0.0182,1,0.2155,1,,,1.0
flashes_thrown_per_round,0.2766,0,0.1306,1,,,0.0
kills_per_round,0.0207,1,0.0363,1,,,1.0
kills_per_round_win,0.0243,1,0.2535,1,,,1.0
opening,0.002,1,0.0579,1,,,1.0
opening_attempts,0.0008,1,0.0462,1,,,1.0
opening_deaths_per_round,0.0002,1,0.0454,1,,,1.0
opening_kills_per_round,0.0017,1,0.0397,1,,,1.0
pistol_round_rating,0.0033,1,0.0584,1,,,1.0
rating_3.0,0.0072,1,0.0378,1,,,1.0
rounds_with_a_kill,0.0402,1,0.0188,1,,,1.0
rounds_with_a_multi_kill,0.015,1,0.0791,1,,,1.0
saved_by_teammate_per_round,0.1018,0,0.3796,1,,,0.0
saved_teammate_per_round,0.0961,0,0.2617,1,,,0.0
saves_per_round_loss,0.1411,0,0.1869,1,,,0.0
sniper_kills_per_round,0.0103,1,0.0103,1,,,1.0
sniper_multi_kill_rounds,0.0094,1,0.1507,1,,,1.0
sniper_opening_kills_per_round,0.0125,1,0.0753,1,,,1.0
sniping,0.0024,1,0.0595,1,,,1.0
support_rounds,0.1345,0,0.7963,0,,,0.0
t_assists_per_round,0.0266,1,0.0391,1,,,1.0
t_attacks_per_round,0.0736,0,0.217,1,,,0.0
t_clutch_points_per_round,0.0022,1,0.0449,1,,,1.0
t_clutching,0.0084,1,0.0172,1,,,1.0
t_damage_per_round,0.0522,1,0.0724,1,,,1.0
t_entrying,0.0703,0,0.3689,1,,,0.0
t_firepower,0.056,1,0.0749,1,,,1.0
t_flashes_thrown_per_round,0.1879,0,0.2767,1,,,0.0
t_kills_per_round,0.0514,1,0.0272,1,,,1.0
t_opening,0.0301,1,0.0244,1,,,1.0
t_opening_attempts,0.0006,1,0.0369,1,,,1.0
t_opening_deaths_per_round,0.0163,1,0.0423,1,,,1.0
t_opening_kills_per_round,0.0241,1,0.0383,1,,,1.0
t_pistol_round_rating,0.0143,1,0.0735,1,,,1.0
t_rating_3.0,0.0786,0,0.0288,1,,,0.0
t_saved_by_teammate_per_round,0.0885,0,0.0219,1,,,0.0
t_saved_teammate_per_round,0.0709,0,0.0154,1,,,0.0
t_saves_per_round_loss,0.0125,1,0.2241,1,,,1.0
t_sniper_kills_per_round,0.0239,1,0.0207,1,,,1.0
t_sniper_multi_kill_rounds,0.0195,1,0.1337,1,,,1.0
t_sniper_opening_kills_per_round,0.0346,1,0.045,1,,,1.0
t_sniping,0.0094,1,0.0621,1,,,1.0
t_support_rounds,0.151,0,0.8666,0,,,0.0
t_trade_kills_per_round,0.0188,1,0.0327,1,,,1.0
t_traded_deaths_per_round,0.0197,1,0.028,1,,,1.0
t_trading,0.08,0,0.3355,1,,,0.0
t_utility,0.1669,0,0.0507,1,,,0.0
t_utility_damage_per_round,0.2768,0,0.4629,1,,,0.0
t_utility_kills_per_100_rounds,0.0311,1,0.1948,1,,,1.0
trade_kills_per_round,0.0254,1,0.0465,1,,,1.0
trade_kills_percentage,0.0466,1,0.2566,1,,,1.0
traded_deaths_per_round,0.0256,1,0.0406,1,,,1.0
traded_deaths_percentage,0.0523,1,0.3034,1,,,1.0
trading,0.084,0,0.4833,1,,,0.0
utility,0.2978,0,0.0039,1,,,0.0
utility_damage_per_round,0.2928,0,0.1556,1,,,0.0
utility_kills_per_100_rounds,0.0992,0,0.0412,1,,,0.0
